년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2025-04-30,묘1리 파회,1570000400,승차,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-04-30,묘1리 파회,1570000400,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,옥산농협 건너,3600011100,승차,1,1,0,3,4,3,0,0,3,2,1,0,2,2,1,0,0,0,0
2025-04-30,옥산농협 건너,3600011100,하차,0,0,0,0,1,1,0,0,2,2,1,0,2,3,1,0,0,1,0
2025-04-30,옥산농협,3600011200,승차,0,6,10,2,0,14,9,5,0,8,9,5,0,1,3,4,1,0,0
2025-04-30,옥산농협,3600011200,하차,0,1,2,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0
2025-04-30,사동초원파크 건너,3600015400,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,사동초원파크 건너,3600015400,하차,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0
2025-04-30,사동초원파크 앞,3600015500,승차,1,2,6,9,5,3,3,3,3,3,2,2,3,1,1,1,1,0,0
2025-04-30,경산보건소,3600021900,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,경산보건소,3600021900,하차,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,압량한라빌라트 건너,3600035800,승차,3,10,13,21,20,15,14,17,14,14,15,13,17,16,14,9,8,4,0
2025-04-30,압량한라빌라트 건너,3600035800,하차,0,1,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,현흥리(경산방향),3600052500,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,현흥리(경산방향),3600052500,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-04-30,현흥리(진량방향),3600052600,승차,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2025-04-30,현흥리(진량방향),3600052600,하차,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-04-30,현흥2리(진량방향),3600054900,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,현흥2리(경산방향),3600055000,승차,0,0,0,2,1,1,0,1,1,1,0,0,2,1,0,0,1,1,0
2025-04-30,현흥2리(경산방향),3600055000,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,연지입구(진량방향),3600055800,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,연지입구(진량방향),3600055800,하차,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,보인1리(매일유업),3600061300,승차,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2025-04-30,보인1리(매일유업),3600061300,하차,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,경일대정문 건너,3600064800,승차,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2025-04-30,경일대정문 건너,3600064800,하차,0,0,0,2,0,0,1,1,1,0,1,1,1,0,0,2,2,1,0
2025-04-30,대구대정문 건너,3600070200,승차,0,1,10,17,15,27,53,56,61,76,89,145,103,46,25,24,31,23,2
2025-04-30,대구대정문 건너,3600070200,하차,0,1,1,12,4,4,8,7,5,3,6,7,8,6,8,9,10,6,4
2025-04-30,영대교(영대방향),3600090100,승차,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
2025-04-30,영대교(영대방향),3600090100,하차,0,1,3,3,4,3,4,4,3,3,4,4,4,3,3,2,2,1,0
2025-04-30,정평역2번출구,3600090700,승차,0,2,16,12,7,8,8,10,7,9,10,10,10,11,8,8,10,9,5
2025-04-30,정평역2번출구,3600090700,하차,0,1,1,2,3,3,3,4,3,4,5,5,5,5,3,3,2,2,1
2025-04-30,중방e편한세상 건너,3600095400,승차,6,13,30,39,32,24,28,29,25,25,29,26,31,30,18,15,14,8,0
2025-04-30,중방e편한세상 건너,3600095400,하차,0,0,1,1,1,2,1,1,2,2,3,3,4,3,2,1,1,1,0
2025-04-30,신대근린공원 건너,3600099600,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,신대근린공원 건너,3600099600,하차,0,0,1,2,2,2,2,3,3,3,4,5,5,7,5,6,5,6,4
2025-04-30,신대근린공원 앞,3600099700,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,신대근린공원 앞,3600099700,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,압량성당 앞,3600106100,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,압량성당 앞,3600106100,하차,0,1,1,1,2,1,2,2,2,2,3,3,4,4,3,2,3,4,3
2025-04-30,내리리입구 건너,3600106500,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,내리리입구 건너,3600106500,하차,0,0,1,7,2,3,5,4,4,2,2,3,3,1,2,3,4,2,2
2025-04-30,내리리입구,3600107200,승차,1,2,6,11,6,3,10,10,8,5,6,11,12,6,3,4,5,2,0
2025-04-30,내리리입구,3600107200,하차,0,0,0,0,0,0,1,1,1,0,1,1,2,0,0,0,1,0,0
2025-04-30,소라아파트 앞,3600108300,승차,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
2025-04-30,소라아파트 앞,3600108300,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,하양시외버스터미널,3600109400,승차,1,1,2,10,6,4,9,14,35,7,7,15,29,8,10,12,17,14,4
2025-04-30,하양시외버스터미널,3600109400,하차,0,1,2,2,1,2,3,3,5,3,2,6,6,4,3,2,2,2,1
2025-04-30,우진아파트 앞,3600111600,승차,5,10,16,24,20,16,15,14,14,14,16,18,22,18,9,8,7,4,0
2025-04-30,우진아파트 앞,3600111600,하차,4,7,14,12,13,10,8,10,7,8,9,9,13,11,7,6,4,2,0
2025-04-30,중산삼거리(대구방향),3600113400,승차,1,2,30,13,8,6,7,8,6,5,6,7,10,10,5,4,2,1,0
2025-04-30,중산삼거리(대구방향),3600113400,하차,0,3,5,8,6,5,5,5,5,6,5,5,5,6,4,3,4,1,0
2025-04-30,대구대(정문2건너),3600116700,승차,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-04-30,대구대(정문2건너),3600116700,하차,0,1,1,9,3,4,5,5,6,2,3,3,5,3,3,5,5,3,2
2025-04-30,신대부적지구 입구,3600125000,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,신대부적지구 입구,3600125000,하차,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0
2025-04-30,구.압량초등학교,3600125100,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,구.압량초등학교,3600125100,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,마위지근린공원,3600125200,승차,7,19,45,37,34,27,23,26,24,24,25,22,25,22,18,13,8,3,0
2025-04-30,마위지근린공원,3600125200,하차,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,경산병영유적지,3600125300,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,경산병영유적지,3600125300,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,경산병영유적지 건너,3600125400,승차,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-04-30,경산병영유적지 건너,3600125400,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,펜타힐즈서한이다음 앞,3600126600,승차,0,1,5,5,3,2,2,2,3,2,2,2,3,3,1,1,1,1,0
2025-04-30,펜타힐즈서한이다음 앞,3600126600,하차,0,1,5,6,3,2,1,2,2,1,2,2,3,3,2,1,1,1,0
2025-04-30,펜타힐즈서한이다음 건너,3600126700,승차,0,1,5,3,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
2025-04-30,펜타힐즈서한이다음 건너,3600126700,하차,0,0,0,0,0,0,1,1,1,2,1,2,2,3,2,1,2,2,2
2025-04-30,펜타힐즈푸르지오2차 정문,3600149600,승차,0,2,6,9,3,3,2,3,3,2,2,1,3,3,1,1,1,1,0
2025-04-30,펜타힐즈푸르지오2차 정문,3600149600,하차,0,0,1,1,0,1,0,1,1,1,1,1,1,2,1,0,1,1,0
2025-04-30,펜타힐즈더샵1차 북편,3600149700,승차,0,2,12,6,5,3,3,4,3,3,3,2,2,3,3,3,2,1,0
2025-04-30,펜타힐즈더샵1차 북편,3600149700,하차,0,0,1,1,0,0,1,1,1,1,1,1,2,1,1,0,1,1,0
2025-04-30,가천입구,3690000310,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,경북식당(앞),3690000490,승차,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
