년월,정류소명,승차,하차
2022-01-01,(구)현풍시외버스터미널,194,36
2022-01-01,(주)성안건너,15,185
2022-01-01,(주)영화건너,1,77
2022-01-01,(주)영화앞,362,1
2022-01-01,1차서한화성타운건너,163,127
2022-01-01,1차서한화성타운앞,511,137
2022-01-01,2.28기념중앙공원건너1,38296,9488
2022-01-01,2.28기념중앙공원건너2,4518,3282
2022-01-01,2.28기념중앙공원앞,81231,12127
2022-01-01,2차대자연맨션건너,1066,780
2022-01-01,2차대자연맨션앞,7020,890
2022-01-01,2차서한화성타운건너,27423,2243
2022-01-01,2차서한화성타운앞,13156,4168
2022-01-01,2호선반월당역1,15835,3764
2022-01-01,2호선반월당역2,9560,4007
2022-01-01,808종점,53,0
2022-01-01,CBS방송국건너,3730,2179
2022-01-01,CBS방송국앞,2744,1721
2022-01-01,CGV대구한일건너,70135,13833
2022-01-01,CGV대구한일앞,24515,2585
2022-01-01,DGB대구은행파크남편건너,817,398
2022-01-01,DGB대구은행파크남편앞,889,440
2022-01-01,DGB대구은행파크동편건너,3278,3977
2022-01-01,DGB대구은행파크동편앞,3064,464
2022-01-01,e-편한세상월배건너,752,84
2022-01-01,e-편한세상월배앞,138,135
2022-01-01,e편한세상대구금호건너,8912,73
2022-01-01,e편한세상대구금호앞,253,623
2022-01-01,IHL건너,0,63
2022-01-01,IHL앞,51,3
2022-01-01,K-2입구,1450,920
2022-01-01,K2관사입구(종점),596,47
2022-01-01,KT남대구지사건너1,7077,2588
2022-01-01,KT남대구지사건너2,2588,1510
2022-01-01,KT남대구지사앞1,15995,6005
2022-01-01,KT남대구지사앞2,1721,1804
2022-01-01,KT동대구지사건너,11950,13407
2022-01-01,KT동대구지사앞,10463,1406
2022-01-01,KT북대구지사건너,1237,284
2022-01-01,KT북대구지사앞,2606,445
2022-01-01,KT서대구지사건너,12461,3304
2022-01-01,KT서대구지사앞,9550,5339
2022-01-01,LG물류센터건너,3728,2496
2022-01-01,LG물류센터앞,5789,2520
2022-01-01,LH10단지아파트건너,11708,3020
2022-01-01,LH10단지아파트앞,1469,1995
2022-01-01,LH13단지아파트앞,0,6
2022-01-01,LH14단지아파트,1452,266
2022-01-01,LH천년나무2단지건너,5371,459
2022-01-01,LH천년나무2단지앞,1863,573
2022-01-01,NH농협혁신도시지점건너,14,220
2022-01-01,NH농협혁신도시지점앞,2901,407
2022-01-01,SD아이프라임강북아파트,5537,383
2022-01-01,SK리더스뷰건너,6784,1416
2022-01-01,SK리더스뷰앞,3791,1858
2022-01-01,STX메탈건너,875,3107
2022-01-01,STX메탈앞,15,1278
2022-01-01,TBC건너,11727,897
2022-01-01,TBC앞,3300,3155
2022-01-01,㈜윔스건너,107,344
2022-01-01,㈜윔스앞,312,35
2022-01-01,가산리,32,0
2022-01-01,가산면행정복지센터,10,18
2022-01-01,가좌삼거리,7,52
2022-01-01,가창119안전센터,402,108
2022-01-01,가창농협건너,2304,2171
2022-01-01,가창농협앞,8407,426
2022-01-01,가창댐,2,3
2022-01-01,가창댐1,16,67
2022-01-01,가창면행정복지센터건너,2081,1240
2022-01-01,가창면행정복지센터앞,5423,902
2022-01-01,가창중학교건너,607,6
2022-01-01,가창중학교앞,39,203
2022-01-01,가창초등학교건너,2587,304
2022-01-01,가창초등학교건너2,151,50
2022-01-01,가창초등학교앞,798,34
2022-01-01,가천동건너,98,23
2022-01-01,가천동앞,10,16
2022-01-01,가천리,5,5
2022-01-01,가천입구,4,0
2022-01-01,가태2리마을입구,11,0
2022-01-01,가태리마을회관건너,78,16
2022-01-01,가태리마을회관앞,2,0
2022-01-01,각산비나리공원건너,1415,271
2022-01-01,각산비나리공원앞,2021,198
2022-01-01,각산역(1번출구),2891,1055
2022-01-01,각산역(2번출구),1293,1720
2022-01-01,각산태영데시앙건너,2973,3382
