source_file,dataset_type,standard_column,original_column
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,date,일시
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_date,일시
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_avg_temp,평균기온(°C)
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_max_temp,최고기온(°C)
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_min_temp,최저기온(°C)
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_rainfall,일강수량(mm)
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_humidity,평균 상대습도(%)
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_wind,평균 풍속(m/s)
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_sunshine,합계 일조시간(hr)
C:\Users\KDT34\Desktop\bus_project\data\raw\OBS_ASOS_DD_20260615140736.csv,weather,weather_snow,일 최심적설(cm)
C:\Users\KDT34\Desktop\bus_project\data\raw\대구광역시_시내버스 정류소 위치정보_20250903.csv,location,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\대구광역시_시내버스 정류소 위치정보_20250903.csv,location,district,구군
C:\Users\KDT34\Desktop\bus_project\data\raw\대구광역시_시내버스 정류소 위치정보_20250903.csv,location,latitude,위도
C:\Users\KDT34\Desktop\bus_project\data\raw\대구광역시_시내버스 정류소 위치정보_20250903.csv,location,longitude,경도
C:\Users\KDT34\Desktop\bus_project\data\raw\대구광역시_시내버스 정류소 위치정보_20250903.csv,location,route_count,경유노선수
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년10월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년10월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년10월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년10월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년11월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년11월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년11월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년11월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년12월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년12월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년12월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년12월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년1월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년1월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년1월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년1월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년2월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년2월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년2월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년2월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년3월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년3월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년3월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년3월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년4월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년4월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년4월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년4월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년5월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년5월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년5월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년5월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년6월).csv,hourly,stop_id,정류소ID
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년6월).csv,hourly,stop_name,정류소명
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년6월).csv,hourly,date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년6월).csv,hourly,weather_date,년월
C:\Users\KDT34\Desktop\bus_project\data\raw\시내버스 정류소별 시간대별 승하차인원(2025년7월).csv,hourly,stop_id,정류소ID
