stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
옥포LH천년나무3단지앞,달성군,796937,22319,819256,1,796937.0,3086,1146,34.709256551569,12.889438758294904,7시,774618,0.9455139785366234,출근형,35.7791724,128.4383512
대덕맨션앞,남구,624303,43430,667733,1,624303.0,1623,997,21.179694636565312,13.010570272739136,16시,580873,0.8699180660533476,생활형,35.83402167,128.59655
봉무초등학교앞,동구,617892,6376,624268,1,617892.0,1131,1969,17.949531820345975,31.24900809395334,18시,611516,0.9795728757520809,퇴근형,35.92508745,128.6360842
불로우방아파트앞,동구,1210094,364952,1575046,2,605047.0,3054,3343,19.062480494351163,20.866362898695463,9시,845142,0.5365824236244529,생활형,35.90070378,128.6305545
영대병원역,남구,1790745,229207,2019952,3,596915.0,3311,6207,16.016059594640353,30.024669859236685,18시,1561538,0.7730569835322819,퇴근형,35.84425167,128.5883767
진아리채앞,달성군,1175230,14844,1190074,2,587615.0,3934,2039,30.16408526299647,15.634105198589173,7시,1160386,0.9750536521258342,출근형,35.69483462,128.4639796
신천역(5번출구),동구,543759,142317,686076,1,543759.0,1364,1307,22.089068825910932,21.16599190283401,9시,401442,0.5851275951935354,생활형,35.87326463,128.6184523
대구과학기술고등학교앞,서구,1518707,109915,1628622,3,506235.6666666667,2269,5837,12.320807993049522,31.695264986967853,18시,1408792,0.8650208581242301,퇴근형,35.85578237,128.5477465
기업은행대곡지점앞,달서구,1516689,50095,1566784,3,505563.0,4369,3077,25.797118564005668,18.16839867737364,8시,1466594,0.9360537253380172,출근형,35.80840833,128.5359983
한국건강관리협회앞,동구,497645,58140,555785,1,497645.0,1125,891,20.484340859431903,16.223597960670066,16시,439505,0.7907824068659643,생활형,35.86898625,128.6233834
메트로팔레스2,수성구,1486362,150495,1636857,3,495454.0,3910,4600,21.690890935315654,25.518695218018415,7시,1335867,0.8161171073587979,퇴근형,35.86941667,128.6372683
수목원제일풍경채앞,달서구,957811,12123,969934,2,478905.5,3071,1915,29.139387038618462,18.170604421671886,7시,945688,0.9750024228452657,출근형,35.79869097,128.5301834
남대구IC1,달서구,940184,70881,1011065,2,470092.0,2789,1933,27.96270302787247,19.380389011429717,8시,869303,0.8597894299575201,출근형,35.83722057,128.534341
