stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
약령시건너(동성로입구),중구,9617742,1543222,11160964,11,874340.1818181818,6862,41321,6.134727996066336,36.94157614769121,18시,8074520,0.7234608049985647,퇴근형,35.86784188,128.5936867
2.28기념중앙공원앞,중구,5677809,1015310,6693119,12,473150.75,4163,23359,6.643579841051992,37.277776004596085,18시,4662499,0.6966108028260068,퇴근형,35.87030917,128.5983161
동대구역건너,동구,5539975,2026349,7566324,14,395712.5,9072,23109,12.656956303365144,32.24091746191194,18시,3513626,0.4643768889621962,퇴근형,35.87869667,128.6268133
경상감영공원앞,중구,5313172,3714180,9027352,11,483015.63636363635,5291,26946,7.390387328370092,37.63775788135712,17시,1598992,0.17712746772253923,퇴근형,35.87376623,128.5944958
약령시앞,중구,5205345,2384452,7589797,13,400411.1538461539,2828,21755,4.869732922356344,37.46147090730632,18시,2820893,0.37166909734212916,퇴근형,35.86896927,128.5936009
상인현대맨션건너,달서구,5122432,630011,5752443,7,731776.0,8201,26737,10.711440251818765,34.921567859148674,18시,4492421,0.7809588030685397,퇴근형,35.81762167,128.5388417
CGV대구한일건너,중구,5014347,1137603,6151950,9,557149.6666666666,2185,21044,4.037921348314607,38.889710230632765,18시,3876744,0.6301650696120742,퇴근형,35.8708197,128.5963301
동대구역,동구,4874846,1352334,6227180,14,348203.28571428574,8614,19379,13.420581132663395,30.19241255745112,18시,3522512,0.5656672843887602,퇴근형,35.87917333,128.6269833
동구청건너,동구,4830000,1961728,6791728,15,322000.0,10575,14974,17.878275570583263,25.315300084530858,18시,2868272,0.4223184438481635,퇴근형,35.88576565,128.6347906
동대구역복합환승센터앞,동구,4811289,1690683,6501972,11,437389.9090909091,5906,19147,10.572292930920286,34.27492257845085,20시,3120606,0.479947622044512,퇴근형,35.877535,128.6299233
경상감영공원건너,중구,4723718,851762,5575480,11,429428.9090909091,5909,20195,10.208876833503222,34.89055130353657,17시,3871956,0.6944614634076348,퇴근형,35.87277117,128.5944494
반월당역(2번출구),중구,4586834,2059717,6646551,13,352833.3846153846,6388,18344,11.08527400826016,31.83285322597439,18시,2527117,0.38021479109992534,퇴근형,35.86265852,128.5932885
서부정류장1,달서구,4317827,693082,5010909,9,479758.55555555556,7203,15426,14.082937415684205,30.160126693647722,18시,3624745,0.7233707496983083,퇴근형,35.83753667,128.5564183
동대구역복합환승센터건너,동구,4287529,594559,4882088,13,329809.92307692306,5049,18392,9.75765306122449,35.544217687074834,18시,3692970,0.756432493637968,퇴근형,35.87736167,128.630105
아양교역(2번출구),동구,3591124,569533,4160657,15,239408.26666666666,8099,11613,18.49846969074049,26.524599150335753,18시,3021591,0.7262292950368175,퇴근형,35.88705942,128.639898
아양교역(1번출구),동구,3581187,3229678,6810865,15,238745.8,10452,10103,23.275804476116246,22.498608172809263,8시,351509,0.05161003778521524,생활형,35.88713727,128.6394667
서부정류장(관문시장건너),달서구,3543157,627744,4170901,8,442894.625,4001,10713,9.598176802207028,25.6998920474991,16시,2915413,0.698988779642576,퇴근형,35.83597333,128.5562683
경북대학교북문건너,북구,3498920,234587,3733507,8,437365.0,2730,13018,7.188561497748637,34.278642336150824,18시,3264333,0.8743342385590813,퇴근형,35.89300942,128.6096682
경신고등학교건너,수성구,3451843,517065,3968908,12,287653.5833333333,4409,13483,10.312485381484773,31.53623052813772,22시,2934778,0.7394421840969859,퇴근형,35.858925,128.637255
섬유회관앞,중구,3192117,1133784,4325901,16,199507.3125,5471,8605,14.244057382384337,22.40360332213804,16시,2058333,0.4758160207549826,생활형,35.87061667,128.5838733
경신고등학교앞,수성구,3121487,675628,3797115,13,240114.38461538462,2858,12878,7.536919831223629,33.96097046413502,22시,2445859,0.644136140201179,퇴근형,35.8586609,128.63774
산격대우아파트앞,북구,3073916,484106,3558022,9,341546.22222222225,6564,7352,18.81611007596388,21.07496058477856,12시,2589810,0.7278791418377963,생활형,35.8992395,128.6114921
동구청앞,동구,3054975,629817,3684792,15,203665.0,7106,7380,19.678759346441428,20.437551924674604,16시,2425158,0.6581532960340774,생활형,35.8859654,128.6345785
큰장네거리1,서구,3032324,543810,3576134,9,336924.8888888889,3434,7865,8.90467793797324,20.394668602842028,15시,2488514,0.6958671011768575,생활형,35.8711705,128.5782699
영남대 건너,,2970569,561005,3531574,,,2919,5351,14.884503594921217,27.28570700117281,17시,2409564,0.6822918052970148,퇴근형,,
강남약국건너,북구,2969571,695752,3665323,13,228428.53846153847,8597,7870,23.629816942444066,21.631576054092683,8시,2273819,0.6203597882096612,생활형,35.87999507,128.6106926
서구청건너,서구,2930140,469536,3399676,8,366267.5,8168,8625,21.80400950321668,23.023944902698805,18시,2460604,0.7237760304217226,생활형,35.87091933,128.5582787
산격종합시장앞,북구,2826390,839692,3666082,9,314043.3333333333,6131,7341,18.341460496006224,21.961288778532325,11시,1986698,0.5419131377857888,생활형,35.899385,128.61053
북부정류장,서구,2768291,734575,3502866,13,212945.46153846153,5859,8678,19.152691968225948,28.367820600830306,18시,2033716,0.5805862970493305,퇴근형,35.88435167,128.5557967
이시아폴리스더샵1단지,동구,2746835,235879,2982714,9,305203.8888888889,3399,4302,18.794581144594968,23.787669339231407,16시,2510956,0.8418359923210874,생활형,35.92460167,128.6410633
진천역(1번출구),달서구,2716985,480890,3197875,8,339623.125,3701,10721,10.541756864532301,30.53719949868976,18시,2236095,0.699244029238166,퇴근형,35.813725,128.5218267
2.28기념중앙공원건너1,중구,2716805,855444,3572249,7,388115.0,1619,11284,5.355252712357767,37.32468907118285,22시,1861361,0.5210613817793777,퇴근형,35.8705917,128.5980172
동아백화점수성점앞,수성구,2639118,128385,2767503,12,219926.5,5612,7395,18.689223391501265,24.627014786199545,17시,2510733,0.9072196127700675,생활형,35.82075917,128.6404344
안심역(4번출구),동구,2634478,174928,2809406,11,239498.0,3834,6035,17.055160142348754,26.84608540925267,8시,2459550,0.8754697612235469,퇴근형,35.87147833,128.7350517
