지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
143,대구,2024-01-01,3.9,-1.7,751,10.2,1532,,,,,,,5.8,110,1250,3.5,110,1252,1.2,1071,140,-.6,47,1531,74.9,5.9,1020.8,1030.7,943,1025.3,2251,1027.6,9.8,7.6,1200,1.87,9.84,,,,,,3.5,3.5,1.8,-5.9,,,,,,,,,,1.3,1.8,,{박무}0120-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1105.,
143,대구,2024-01-02,6.1,2.5,700,10.6,1449,,,,,,,7.8,250,1257,4.6,270,1159,1.8,1554,270,-.5,44,1454,64,5.9,1014.8,1025.5,8,1019.3,1523,1021.6,9.8,5.3,1100,1.66,9.18,,,,,,7.4,6.5,5.8,-1.4,,,,,,,,,,1.6,2.3,,{달코로나}0350-0510.,
143,대구,2024-01-03,4.1,1.8,841,7.1,1402,6.28,,,,,4.2,9.2,270,1213,5.7,290,1236,3.3,2878,290,-1,52,1527,70.3,5.7,1012.2,1021.5,2400,1016.4,1413,1019,9.8,3.8,1100,1.66,7.69,,,,,,6.9,4.6,4,1.3,,,,,,,,,,1.3,1.9,,{박무}0320-{박무}{강도1}0600-{박무}{강도1}0900-1150. {비}0323-{비}{강도0}0600-{비}{강도0}0900-0940. {연무}1805-{연무}{강도0}2100-2205.,
143,대구,2024-01-04,3,-1.9,748,9.2,1558,,,,,,,7.7,290,39,4.9,270,208,2,1735,270,-5.8,28,1501,54.6,4,1015.6,1024.8,953,1020.8,1458,1022.4,9.8,9,1200,1.97,11.5,,,,,,0,0,1.4,-6,,,,,,,,,,1.6,2.3,,,
143,대구,2024-01-05,4.6,-2.5,640,12.5,1401,,,,,,,6.3,290,1431,3.5,290,1433,1.4,1243,290,-1.3,41,1357,68,5.6,1014.1,1022.9,918,1018.7,1542,1020.8,9.8,8,1200,1.82,10.32,,,,,,2.4,2.4,1.9,-6.3,,,,,,,,,,1.6,2.2,,{박무}0625-0655. {박무}0710-{박무}{강도0}0900-1006. {연무}1002-{연무}{강도0}1200-1225. {연무}1730-{연무}{강도0}1800-{연무}{강도0}2100-2349. {박무}2344-{박무}{강도0}2400-,
143,대구,2024-01-06,3.7,0,602,9,1429,,,,,,,9.2,270,1442,6.2,270,1444,2.5,2120,270,-7.1,22,1430,50.5,3.8,1014.3,1022.5,944,1019.5,1405,1021.1,9.8,8.8,1200,1.99,11.25,,,,,,2,1.1,1.4,-5.7,,,,,,,,,,2.5,3.6,,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-0715. {연무}0710-0740.,
143,대구,2024-01-07,.5,-2.8,2358,2.8,120,,,,,,,16.3,290,1550,9.8,290,1557,4.5,3864,290,-10.7,25,1323,44,2.8,1017.7,1027.6,2353,1021.7,147,1024.6,9.9,8.5,1200,1.99,11.49,,,,,,1.3,1.3,.1,-5.3,,,,,,,,,,2.1,3,,,
143,대구,2024-01-08,-1.6,-6.4,754,4.9,1539,,,,,,,5.6,270,1445,3.8,290,1608,1.8,1531,270,-14.3,15,1508,40.9,2.1,1019.4,1029.5,852,1024,1550,1026.3,9.9,9,1200,2.05,12.16,,,,,,.1,0,-2.5,-8.6,,,,,,,,,,1.7,2.4,,,
143,대구,2024-01-09,.2,-5.6,624,5.7,1623,2.72,,,,,1.3,3.9,320,2125,2.5,290,2127,1,851,270,-6.9,42,1328,60.1,3.8,1013.5,1024.5,17,1017.8,1544,1020.4,9.9,1.7,1300,1.08,5.97,,,,,,7.1,5.9,-.1,-9,,,,,,,,,,.8,1.1,,{눈}2117-{눈}{강도0}2400-,
143,대구,2024-01-10,2.8,-.1,2356,7.4,1400,.72,,,,,0,5,290,1045,3.5,290,1054,1.6,1347,270,-.9,53,1402,77.6,5.7,1012.7,1021,2136,1017.3,336,1019.4,9.9,5.7,1200,1.65,8.91,,,,,,5.6,3.6,2.7,-4.2,,,,,,,,,,1,1.5,,{박무}0030-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-1108. -{눈}-0043. {연무}1103-{연무}{강도0}1200-1235. {박무}1930-{박무}{강도0}2100-{박무}{강도0}2400-,
