년월,정류소명,승차,하차
2024-01-01,(구)현풍시외버스터미널,124,34
2024-01-01,(주)성안건너,35,189
2024-01-01,(주)영화건너,7,209
2024-01-01,(주)영화앞,378,2
2024-01-01,1차서한화성타운건너,230,190
2024-01-01,1차서한화성타운앞,694,119
2024-01-01,2.28기념중앙공원건너1,36767,10986
2024-01-01,2.28기념중앙공원건너2,5174,4222
2024-01-01,2.28기념중앙공원앞,85341,14517
2024-01-01,2차대자연맨션건너,1429,868
2024-01-01,2차대자연맨션앞,8684,1002
2024-01-01,2차서한화성타운건너,30797,2809
2024-01-01,2차서한화성타운앞,14659,5050
2024-01-01,2호선반월당역1,17925,5069
2024-01-01,2호선반월당역2,10561,4944
2024-01-01,CBS방송국건너,4508,2608
2024-01-01,CBS방송국앞,3283,2261
2024-01-01,CGV대구한일건너,70737,16967
2024-01-01,CGV대구한일앞,23267,3274
2024-01-01,DGB대구은행파크남편건너,1850,469
2024-01-01,DGB대구은행파크남편앞,1374,715
2024-01-01,DGB대구은행파크동편건너,4094,4945
2024-01-01,DGB대구은행파크동편앞,4215,739
2024-01-01,e-편한세상월배건너,1268,112
2024-01-01,e-편한세상월배앞,193,232
2024-01-01,e편한세상대구금호건너,9599,80
2024-01-01,e편한세상대구금호앞,234,836
2024-01-01,IHL건너,2,35
2024-01-01,IHL앞,95,2
2024-01-01,K-2입구,2258,1032
2024-01-01,K2관사입구(종점),591,74
2024-01-01,KT남대구지사건너1,8081,3479
2024-01-01,KT남대구지사건너2,3321,2081
2024-01-01,KT남대구지사앞1,18539,6542
2024-01-01,KT남대구지사앞2,1800,1793
2024-01-01,KT동대구지사건너,17803,14708
2024-01-01,KT동대구지사앞,15119,1706
2024-01-01,KT북대구지사건너,1700,416
2024-01-01,KT북대구지사앞,3359,631
2024-01-01,KT서대구지사건너,14665,3665
2024-01-01,KT서대구지사앞,11473,7111
2024-01-01,LG물류센터건너,4473,3139
2024-01-01,LG물류센터앞,7190,2656
2024-01-01,LH10단지아파트건너,13580,3078
2024-01-01,LH10단지아파트앞,1867,2535
2024-01-01,LH13단지아파트앞,2,11
2024-01-01,LH14단지아파트,3172,539
2024-01-01,LH천년나무2단지건너,188,276
2024-01-01,LH천년나무2단지앞,1026,34
2024-01-01,NH농협혁신도시지점건너,5,219
2024-01-01,NH농협혁신도시지점앞,3413,379
2024-01-01,SD아이프라임강북아파트,6850,409
2024-01-01,SK리더스뷰건너,7499,1641
2024-01-01,SK리더스뷰앞,4638,2185
2024-01-01,STX메탈건너,1105,3546
2024-01-01,STX메탈앞,24,1511
2024-01-01,TBC건너,13019,1177
2024-01-01,TBC앞,4319,4070
2024-01-01,㈜윔스건너,134,365
2024-01-01,㈜윔스앞,403,94
2024-01-01,가산리,19,0
2024-01-01,가산면행정복지센터,9,6
2024-01-01,가암1리,15,0
2024-01-01,가암1리,6,0
2024-01-01,가암1리,141,0
2024-01-01,가암1리,10,0
2024-01-01,가암1리,17,0
2024-01-01,가암리,6,0
2024-01-01,가좌삼거리,96,58
2024-01-01,가창119안전센터,569,120
2024-01-01,가창농협건너,2750,1942
2024-01-01,가창농협앞,9531,409
2024-01-01,가창댐,6,4
2024-01-01,가창댐1,11,33
2024-01-01,가창면행정복지센터건너,2416,1342
2024-01-01,가창면행정복지센터앞,6117,885
2024-01-01,가창중학교건너,860,7
2024-01-01,가창중학교앞,70,231
