년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2025-11-30,묘1리 파회,1570000400,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,묘1리 파회,1570000400,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,옥산농협 건너,3600011100,승차,1,0,0,3,4,4,0,1,4,3,1,0,2,2,1,0,1,1,0
2025-11-30,옥산농협 건너,3600011100,하차,0,0,0,0,1,2,0,1,3,2,1,0,3,3,1,0,1,1,0
2025-11-30,옥산농협,3600011200,승차,1,7,13,6,0,20,16,7,0,15,14,8,0,2,5,5,1,0,0
2025-11-30,옥산농협,3600011200,하차,0,1,2,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
2025-11-30,사동초원파크 건너,3600015400,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,사동초원파크 건너,3600015400,하차,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
2025-11-30,사동초원파크 앞,3600015500,승차,2,2,5,9,4,4,5,5,3,2,2,3,3,2,1,1,1,0,0
2025-11-30,사동초원파크 앞,3600015500,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,경산보건소,3600021900,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,경산보건소,3600021900,하차,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,압량한라빌라트 건너,3600035800,승차,3,8,12,17,18,14,11,14,13,12,12,12,14,13,9,7,5,3,0
2025-11-30,압량한라빌라트 건너,3600035800,하차,0,0,1,3,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0
2025-11-30,현흥리(경산방향),3600052500,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,현흥리(경산방향),3600052500,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,현흥리(진량방향),3600052600,승차,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2025-11-30,현흥리(진량방향),3600052600,하차,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,현흥2리(진량방향),3600054900,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,현흥2리(진량방향),3600054900,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,현흥2리(경산방향),3600055000,승차,0,0,0,1,1,1,0,0,1,1,0,0,2,1,0,0,0,1,0
2025-11-30,현흥2리(경산방향),3600055000,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,연지입구(진량방향),3600055800,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,연지입구(진량방향),3600055800,하차,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,보인1리(매일유업),3600061300,승차,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-11-30,보인1리(매일유업),3600061300,하차,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,경일대정문 건너,3600064800,승차,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2025-11-30,경일대정문 건너,3600064800,하차,0,0,0,2,0,0,1,1,1,0,1,1,1,0,0,2,2,0,0
2025-11-30,대구대정문 건너,3600070200,승차,0,2,13,16,15,26,44,49,52,50,72,124,85,39,21,21,23,12,2
2025-11-30,대구대정문 건너,3600070200,하차,0,1,2,10,4,4,6,7,6,4,6,9,9,7,8,10,11,5,5
2025-11-30,영대교(영대방향),3600090100,승차,0,0,0,1,0,1,1,1,2,1,1,1,1,1,1,0,1,1,1
2025-11-30,영대교(영대방향),3600090100,하차,0,0,2,2,3,2,3,3,3,3,4,4,4,3,3,2,2,2,1
2025-11-30,정평역2번출구,3600090700,승차,0,2,15,12,7,7,9,10,9,10,10,12,11,14,9,8,13,13,5
2025-11-30,정평역2번출구,3600090700,하차,0,1,1,2,3,2,3,4,4,4,6,5,4,4,4,4,2,2,0
2025-11-30,중방e편한세상 건너,3600095400,승차,4,10,21,34,28,22,27,23,25,23,27,25,30,29,14,14,12,6,0
2025-11-30,중방e편한세상 건너,3600095400,하차,0,0,0,1,1,2,2,2,2,1,2,3,3,4,2,2,1,0,0
2025-11-30,신대근린공원 건너,3600099600,승차,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-11-30,신대근린공원 건너,3600099600,하차,0,1,0,2,1,1,3,3,3,4,5,7,6,8,6,4,7,6,2
2025-11-30,신대근린공원 앞,3600099700,승차,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,신대근린공원 앞,3600099700,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30,압량성당 앞,3600106100,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
