년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,합계
2024-03-31,(구)현풍시외버스터미널,7111039200,승차,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2024-03-31,(구)현풍시외버스터미널,7111039200,하차,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-03-31,(주)성안건너,7021042100,하차,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2024-03-31,(주)영화건너,7111058300,하차,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2024-03-31,(주)영화앞,7111059100,승차,0,0,0,1,0,0,0,0,1,0,1,0,3,1,0,2,0,0,0,10
2024-03-31,1차서한화성타운건너,7041058600,승차,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8
2024-03-31,1차서한화성타운건너,7041058600,하차,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
2024-03-31,1차서한화성타운앞,7041047200,승차,0,0,4,2,2,1,1,2,2,1,3,1,1,1,1,0,1,1,0,23
2024-03-31,1차서한화성타운앞,7041047200,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
2024-03-31,2.28기념중앙공원건너1,7001006900,승차,5,11,22,26,22,22,27,36,47,53,74,97,108,127,101,106,132,131,23,1170
2024-03-31,2.28기념중앙공원건너1,7001006900,하차,1,6,12,27,23,25,25,34,37,33,38,39,42,40,24,12,12,9,2,441
2024-03-31,2.28기념중앙공원건너2,7001011700,승차,0,1,4,7,6,6,7,7,10,16,17,17,16,18,10,13,10,11,0,176
2024-03-31,2.28기념중앙공원건너2,7001011700,하차,0,3,5,9,9,7,8,11,9,10,10,10,9,13,6,4,3,2,1,129
2024-03-31,2.28기념중앙공원앞,7001006800,승차,12,18,39,85,60,58,84,112,130,137,170,216,251,299,268,250,268,243,43,2744
2024-03-31,2.28기념중앙공원앞,7001006800,하차,1,10,17,47,35,25,30,34,38,33,32,36,41,46,26,15,12,8,2,487
2024-03-31,2차대자연맨션건너,7061035600,승차,0,2,6,7,5,3,3,3,3,3,3,4,3,2,3,1,1,1,0,52
2024-03-31,2차대자연맨션건너,7061035600,하차,0,0,1,1,1,1,2,2,2,3,4,4,4,5,3,2,2,1,1,40
2024-03-31,2차대자연맨션앞,7061009500,승차,6,9,32,39,26,26,20,21,19,17,14,14,17,17,12,6,4,3,0,301
2024-03-31,2차대자연맨션앞,7061009500,하차,0,1,2,2,3,3,3,4,3,3,3,4,2,1,2,1,0,0,0,38
2024-03-31,2차서한화성타운건너,7041003100,승차,14,42,130,129,100,74,68,68,63,54,50,51,55,51,34,27,21,16,0,1048
2024-03-31,2차서한화성타운건너,7041003100,하차,1,3,5,7,6,4,5,5,5,5,5,7,8,9,5,4,4,4,1,95
2024-03-31,2차서한화성타운앞,7041003000,승차,5,16,47,59,37,24,27,24,26,24,30,32,35,37,26,17,17,15,4,502
2024-03-31,2차서한화성타운앞,7041003000,하차,0,4,7,7,5,5,6,7,9,10,12,15,18,24,17,11,10,9,3,180
2024-03-31,2호선반월당역1,7001001400,승차,1,6,5,9,7,11,15,18,26,35,36,49,59,71,56,65,59,54,3,584
2024-03-31,2호선반월당역1,7001001400,하차,0,2,5,7,14,12,12,9,15,15,16,11,10,18,8,4,3,2,1,164
2024-03-31,2호선반월당역2,7001012300,승차,1,4,5,6,9,12,17,15,20,27,30,28,26,39,30,27,18,16,2,333
2024-03-31,2호선반월당역2,7001012300,하차,1,4,11,17,17,13,12,11,11,13,11,13,12,13,6,4,5,3,0,175
2024-03-31,CBS방송국건너,7021023000,승차,1,4,14,12,12,12,11,11,11,8,10,10,12,15,5,4,4,3,0,160
2024-03-31,CBS방송국건너,7021023000,하차,0,3,5,8,6,8,6,6,7,6,7,7,7,7,4,3,2,2,0,93
2024-03-31,CBS방송국앞,7021023100,승차,1,2,7,7,6,5,6,8,9,8,10,11,9,10,5,6,6,3,0,119
2024-03-31,CBS방송국앞,7021023100,하차,0,2,5,10,5,3,3,4,5,5,5,7,6,5,3,2,2,2,0,77
2024-03-31,CGV대구한일건너,7001006600,승차,6,14,29,40,33,51,66,87,104,134,189,228,240,273,207,211,233,198,29,2372
2024-03-31,CGV대구한일건너,7001006600,하차,1,4,12,22,28,34,41,45,46,47,51,50,51,54,26,21,15,10,2,561
2024-03-31,CGV대구한일앞,7001006700,승차,2,2,4,8,8,10,22,27,36,42,55,71,82,87,73,71,74,68,11,754
2024-03-31,CGV대구한일앞,7001006700,하차,1,3,2,8,6,5,7,7,9,8,7,10,9,9,5,3,3,1,0,105
2024-03-31,e-편한세상월배건너,7041059100,승차,1,1,8,9,7,6,4,3,3,5,2,1,2,3,2,2,2,0,0,60
2024-03-31,e-편한세상월배건너,7041059100,하차,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-03-31,e-편한세상월배앞,7041059000,승차,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6
2024-03-31,e-편한세상월배앞,7041059000,하차,0,0,0,1,1,0,0,1,1,0,0,1,1,2,1,0,0,0,0,8
2024-03-31,e편한세상대구금호건너,7021056500,승차,7,17,50,44,33,23,23,23,21,16,17,13,14,14,9,6,5,1,0,335
2024-03-31,e편한세상대구금호건너,7021056500,하차,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2024-03-31,e편한세상대구금호앞,7021056600,승차,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,8
2024-03-31,e편한세상대구금호앞,7021056600,하차,0,0,0,0,0,1,1,2,1,2,2,3,3,4,4,2,2,2,1,30
2024-03-31,K-2입구,7011012200,승차,2,3,5,7,4,3,3,5,5,4,4,5,5,5,4,3,1,2,0,70
2024-03-31,K-2입구,7011012200,하차,0,1,3,3,2,2,2,2,2,2,3,3,4,5,1,1,1,1,0,39
2024-03-31,K2관사입구(종점),7011035800,승차,0,0,2,1,2,4,0,2,1,2,0,2,2,0,1,1,0,0,0,18
2024-03-31,K2관사입구(종점),7011035800,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-03-31,KT남대구지사건너1,7051003500,승차,4,11,18,19,15,13,15,17,17,19,21,21,25,20,13,11,11,7,2,280
2024-03-31,KT남대구지사건너1,7051003500,하차,2,2,2,4,7,7,8,7,8,8,8,9,7,9,6,5,6,4,1,110
2024-03-31,KT남대구지사건너2,7051003000,승차,1,3,5,9,7,11,8,10,8,10,10,10,9,9,7,4,4,3,1,126
2024-03-31,KT남대구지사건너2,7051003000,하차,0,0,1,3,1,2,2,3,3,2,4,5,5,6,4,4,4,3,1,53
2024-03-31,KT남대구지사앞1,7051003400,승차,7,13,40,55,48,40,41,45,46,41,39,41,47,44,32,22,22,15,1,640
2024-03-31,KT남대구지사앞1,7051003400,하차,1,5,13,17,19,15,16,15,16,16,15,17,18,19,12,8,11,7,1,241
2024-03-31,KT남대구지사앞2,7051002900,승차,0,1,8,5,4,2,3,5,4,2,3,2,3,2,2,1,1,0,0,47
2024-03-31,KT남대구지사앞2,7051002900,하차,0,2,4,5,6,4,5,3,5,4,3,4,3,4,3,1,2,0,0,58
2024-03-31,KT동대구지사건너,7011007300,승차,9,20,39,58,41,42,39,37,40,42,44,38,45,33,19,13,17,12,1,589
2024-03-31,KT동대구지사건너,7011007300,하차,9,17,24,52,39,36,34,31,39,36,38,31,35,35,19,12,14,10,1,511
2024-03-31,KT동대구지사앞,7011007200,승차,3,12,30,25,29,48,47,38,24,37,48,41,39,28,14,8,16,10,1,499
2024-03-31,KT동대구지사앞,7011007200,하차,0,1,3,3,3,4,3,4,4,5,5,5,4,6,4,3,3,1,0,59
2024-03-31,KT북대구지사건너,7021013700,승차,1,1,4,4,3,3,3,3,4,3,3,4,5,5,2,2,2,1,0,53
2024-03-31,KT북대구지사건너,7021013700,하차,0,1,2,1,1,1,1,2,1,1,1,1,2,2,1,0,0,0,0,18
2024-03-31,KT북대구지사앞,7021013800,승차,2,6,10,7,5,5,7,10,6,6,7,8,7,7,5,5,3,3,0,107
2024-03-31,KT북대구지사앞,7021013800,하차,0,0,0,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,0,21
2024-03-31,KT서대구지사건너,7031015100,승차,10,15,38,49,41,34,36,41,37,28,25,27,35,30,16,14,9,7,2,494
2024-03-31,KT서대구지사건너,7031015100,하차,1,2,3,10,8,8,7,8,7,7,10,9,9,13,8,4,4,5,1,125
2024-03-31,KT서대구지사앞,7031010600,승차,6,20,37,34,25,20,23,22,23,21,19,23,28,27,16,14,16,9,2,383
2024-03-31,KT서대구지사앞,7031010600,하차,0,3,8,20,12,11,11,13,14,17,20,20,20,22,15,11,11,8,1,237
2024-03-31,LG물류센터건너,7011015100,승차,7,4,16,13,13,9,8,8,9,8,11,31,14,20,7,6,6,8,2,199
2024-03-31,LG물류센터건너,7011015100,하차,1,2,9,11,5,6,5,6,6,6,8,9,9,9,6,5,5,5,2,114
2024-03-31,LG물류센터앞,7011015200,승차,4,10,21,30,21,18,16,20,17,12,12,22,19,16,6,7,4,4,1,259
2024-03-31,LG물류센터앞,7011015200,하차,1,2,10,13,5,6,6,8,5,4,7,8,10,10,4,3,4,2,0,110
2024-03-31,LH10단지아파트건너,7011060000,승차,4,16,57,53,35,24,23,29,26,21,19,23,23,32,15,10,10,11,1,433
2024-03-31,LH10단지아파트건너,7011060000,하차,2,3,10,13,8,6,8,11,12,12,10,13,12,11,7,5,5,5,0,153
2024-03-31,LH10단지아파트앞,7011060100,승차,0,1,3,6,4,3,3,4,4,4,5,4,3,5,6,4,4,5,2,68
2024-03-31,LH10단지아파트앞,7011060100,하차,0,1,1,4,4,1,3,5,5,5,6,7,8,10,11,6,6,7,4,95
2024-03-31,LH14단지아파트,7011061800,승차,2,4,18,18,13,7,8,4,7,4,6,5,2,4,2,1,1,0,0,106
2024-03-31,LH14단지아파트,7011061800,하차,0,0,3,5,2,1,1,0,1,1,1,1,1,1,1,0,1,0,0,20
2024-03-31,LH천년나무2단지건너,7111073200,승차,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2024-03-31,LH천년나무2단지건너,7111073200,하차,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,12
2024-03-31,LH천년나무2단지앞,7111073100,승차,0,0,4,2,2,2,1,2,2,1,2,2,2,5,2,1,2,2,0,34
2024-03-31,LH천년나무2단지앞,7111073100,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-03-31,NH농협혁신도시지점앞,7011056600,승차,0,0,3,1,4,6,6,6,3,7,17,14,14,23,1,7,5,3,0,121
2024-03-31,NH농협혁신도시지점앞,7011056600,하차,0,0,0,0,2,2,1,2,0,1,2,1,1,1,0,0,0,0,0,15
2024-03-31,SD아이프라임강북아파트,7021005600,승차,2,5,45,27,21,16,13,14,16,14,17,17,16,13,8,8,7,2,0,262
2024-03-31,SD아이프라임강북아파트,7021005600,하차,0,0,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,16
2024-03-31,SK리더스뷰건너,7061012500,승차,3,5,10,19,13,10,13,15,16,13,17,21,24,23,15,13,12,9,0,253
2024-03-31,SK리더스뷰건너,7061012500,하차,0,1,8,10,9,3,4,6,4,5,4,4,4,4,3,2,2,2,0,75
2024-03-31,SK리더스뷰앞,7061012600,승차,1,2,10,8,6,7,8,8,9,8,17,18,14,13,9,8,11,9,3,169
2024-03-31,SK리더스뷰앞,7061012600,하차,0,2,5,7,5,4,4,4,4,4,5,5,5,6,4,3,3,2,1,71
2024-03-31,TBC건너,7061012900,승차,7,9,30,31,24,20,20,20,24,31,33,40,31,43,26,25,28,24,0,466
2024-03-31,TBC건너,7061012900,하차,0,1,1,3,2,2,2,2,2,3,3,4,2,3,2,1,1,1,0,37
2024-03-31,TBC앞,7061012800,승차,0,1,10,25,6,6,5,5,6,7,8,9,10,11,8,6,6,9,2,141
2024-03-31,TBC앞,7061012800,하차,0,2,3,6,5,7,10,8,10,9,11,11,16,16,11,9,7,9,4,154
2024-03-31,㈜윔스건너,7041044700,승차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
2024-03-31,㈜윔스건너,7041044700,하차,0,0,2,1,0,1,1,1,1,0,1,1,1,2,1,1,0,0,0,13
2024-03-31,㈜윔스앞,7041044800,승차,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,3,0,0,0,12
2024-03-31,㈜윔스앞,7041044800,하차,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-03-31,가암1리,7361000524,승차,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6
2024-03-31,가창119안전센터,7111046100,승차,0,1,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,22
2024-03-31,가창119안전센터,7111046100,하차,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2024-03-31,가창농협건너,7111000400,승차,0,0,4,4,5,8,8,9,7,7,8,8,7,6,5,3,2,1,0,92
2024-03-31,가창농협건너,7111000400,하차,0,1,3,6,6,6,5,5,5,6,6,6,5,4,4,2,1,2,0,74
2024-03-31,가창농협앞,7111000500,승차,2,10,32,30,25,24,24,33,30,39,24,21,16,15,10,8,6,4,0,353
2024-03-31,가창농협앞,7111000500,하차,0,0,0,1,2,1,2,1,1,2,2,2,1,1,0,0,0,0,0,16
2024-03-31,가창댐1,7111060300,하차,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
2024-03-31,가창면행정복지센터건너,7111000600,승차,0,1,4,7,9,11,7,8,6,7,6,5,6,4,4,2,1,1,0,89
2024-03-31,가창면행정복지센터건너,7111000600,하차,0,1,2,6,5,3,3,3,2,3,3,3,3,3,2,2,1,2,0,47
2024-03-31,가창면행정복지센터앞,7111000700,승차,3,4,13,10,17,14,15,15,16,14,14,15,17,17,8,8,4,2,0,207
